#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	SRR3950474_SRR3950474_db1.metaphlan	SRR3950479_SRR3950479_db1.metaphlan	SRR3950484_SRR3950484_db1.metaphlan	SRR3950488_SRR3950488_db1.metaphlan
k__Bacteria|p__Firmicutes|c__CFGB9120	0.0	0.03071	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB72814	0.0	0.02991	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB78317	0.0	0.02893	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1311	0.0	0.02693	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB73223	0.0	0.02646	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1347	0.0	0.02631	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3062	0.0	0.18157	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB79270	0.0	0.17393	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB78291	0.0	0.16484	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB14936	0.0	0.16352	0.0	0.05731
k__Bacteria|p__Firmicutes|c__CFGB2982	0.0	0.15694	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2923	0.0	0.14964	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3026	0.0	0.14147	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB4617	0.0	0.021	0.0	0.54168
k__Bacteria|p__Firmicutes|c__CFGB10312	0.0	0.02046	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9622	0.0	0.01933	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1125	0.0	0.01889	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2997	0.0	0.01788	0.0	0.02701
k__Bacteria|p__Firmicutes|c__CFGB2960	0.0	0.0173	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1780	0.0	0.01661	0.0	0.0
k__Eukaryota|p__Eukaryota_unclassified|c__Bigyra	0.0	0.01659	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2921	0.0	0.01647	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2984	0.0	0.07498	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB10314	0.0	0.06869	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB72924	0.0	0.06611	0.0	0.05141
k__Bacteria|p__Firmicutes|c__CFGB2873	0.0	0.06553	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2949	0.0	0.05748	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2930	0.0	0.0527	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB8140	0.0	0.05259	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB10021	0.0	0.01312	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2834	0.0	0.01239	0.0	0.01911
k__Bacteria|p__Firmicutes|c__CFGB8294	0.0	0.01226	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB94770	0.0	0.01162	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB32970	0.0	0.01113	0.0	0.02208
k__Bacteria|p__Lentisphaerota|c__Lentisphaeria	0.0	0.00909	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB79315	0.0	0.00846	0.0	0.00288
k__Bacteria|p__Firmicutes|c__CFGB3040	0.0	0.00832	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB88378	0.0	0.00797	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB88483	0.0	0.02411	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB84772	0.0	0.02304	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB30328	0.0	0.02215	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9119	0.0	0.0221	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB31503	0.0	0.02209	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9989	0.0	0.0218	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB9345	0.0	0.02177	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB94658	0.0	0.00441	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3038	0.0	0.0044	0.0	0.00405
k__Bacteria|p__Firmicutes|c__CFGB1838	0.0	0.00411	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3023	0.0	0.00406	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB74971	0.0	0.00373	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB38642	0.0	0.00342	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB78453	0.0	0.00289	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB52309	0.0	0.00257	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2839	0.0	0.00248	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB79152	0.0	0.01614	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB4405	0.0	0.44242	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB10318	0.0	0.43821	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB78465	0.0	0.01523	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB2889	0.0	0.01539	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB10239	0.0	0.01521	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB77413	0.0	0.01362	0.0	0.0
k__Bacteria|p__Mycoplasmatota|c__CFGB1789	0.0	0.00609	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB32310	0.0	0.00561	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1473	0.0	0.01361	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB94751	0.0	0.01317	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB59449	0.0	0.00488	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1201	0.0	0.00477	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB13532	0.0	0.00441	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB84435	0.0	0.00245	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1262	0.0	0.00226	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1374	0.0	0.00148	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1778	0.0	0.00558	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB84486	0.0	0.00506	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB94833	0.0	0.00112	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB4507	0.0	0.00148	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB4623	0.0	0.00062	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3625	0.0	0.00088	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB77220	0.03711	0.03701	0.0	0.07436
k__Bacteria|p__Bacteroidota|c__Bacteroidia	45.5667	48.3732	82.89985	62.0932
k__Bacteria|p__Firmicutes|c__Clostridia	18.94193	17.99369	1.06599	25.72938
k__Bacteria|p__Bacteroidota|c__CFGB629	13.72626	0.20799	0.00805	0.0
k__Bacteria|p__Bacteroidota|c__CFGB11479	10.21867	0.0	0.00442	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes	7.26622	2.30581	8.31617	4.28669
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1.05025	0.1446	0.40001	0.02101
k__Bacteria|p__Firmicutes|c__CFGB3054	0.92284	0.23027	0.0	0.61077
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria	0.85291	0.15326	0.0	0.09933
k__Bacteria|p__Actinomycetota|c__Actinomycetes	0.60797	0.02489	0.69306	0.08676
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria	0.397	0.32979	1.07161	4.70016
